,,,,,,,,,,,
,LISTE DE CONTRÔLE DUE DILIGENCE - M&A,,,,,,,,,,
,,,,,,,,,,,
,Nom de la cible :,,[Nom de l'entreprise],,Conseiller :,,[Nom du conseiller],,,RÉCAPITULATIF,
,Secteur :,,[Secteur d'activité],,Échéance :,,[JJ/MM/AAAA],,,,
,Date de début :,,[JJ/MM/AAAA],,,,,,,Total points :,49
,,,,,,,,,,Terminés :,0
,Catégorie,Sous-catégorie,Point de contrôle,Responsable,Statut,Priorité,Date début,Date fin,Commentaires,En cours :,0
,FINANCIER,États financiers,Bilan des 3 dernières années,,Non démarré,Haute,,,,Bloqués :,0
,FINANCIER,États financiers,Compte de résultat détaillé,,Non démarré,Haute,,,,Progression :,0%
,FINANCIER,États financiers,Tableau de flux de trésorerie,,Non démarré,Haute,,,,,
,FINANCIER,États financiers,Annexes comptables,,Non démarré,Moyenne,,,,,
,FINANCIER,Budget & Prévisions,Business plan 3-5 ans,,Non démarré,Haute,,,,,
,FINANCIER,Budget & Prévisions,Budget annuel détaillé,,Non démarré,Moyenne,,,,,
,FINANCIER,Budget & Prévisions,Écarts budget/réalisé,,Non démarré,Moyenne,,,,,
,FINANCIER,Trésorerie,Relevés bancaires (12 mois),,Non démarré,Haute,,,,,
,FINANCIER,Trésorerie,Tableau de financement,,Non démarré,Moyenne,,,,,
,FINANCIER,Trésorerie,Lignes de crédit et engagements,,Non démarré,Haute,,,,,
,FINANCIER,Fiscalité,Déclarations fiscales (3 ans),,Non démarré,Haute,,,,,
,FINANCIER,Fiscalité,Contrôles fiscaux en cours,,Non démarré,Critique,,,,,
,FINANCIER,Fiscalité,Rulings et accords préalables,,Non démarré,Moyenne,,,,,
,JURIDIQUE,Structure sociétaire,Kbis et statuts,,Non démarré,Haute,,,,,
,JURIDIQUE,Structure sociétaire,PV AGE/AGO (3 ans),,Non démarré,Haute,,,,,
,JURIDIQUE,Structure sociétaire,Registre des actionnaires,,Non démarré,Haute,,,,,
,JURIDIQUE,Contrats majeurs,Contrats clients significatifs,,Non démarré,Haute,,,,,
,JURIDIQUE,Contrats majeurs,Contrats fournisseurs,,Non démarré,Moyenne,,,,,
,JURIDIQUE,Contrats majeurs,Contrats de crédit-bail,,Non démarré,Moyenne,,,,,
,JURIDIQUE,Contrats majeurs,Accords de confidentialité,,Non démarré,Moyenne,,,,,
,JURIDIQUE,Contentieux,Litiges en cours,,Non démarré,Critique,,,,,
,JURIDIQUE,Contentieux,Litiges potentiels,,Non démarré,Haute,,,,,
,JURIDIQUE,Contentieux,Procédures collectives,,Non démarré,Critique,,,,,
,JURIDIQUE,Propriété intellectuelle,Brevets et marques,,Non démarré,Haute,,,,,
,JURIDIQUE,Propriété intellectuelle,Logiciels et licences,,Non démarré,Moyenne,,,,,
,JURIDIQUE,Propriété intellectuelle,Contrats de licence,,Non démarré,Moyenne,,,,,
,COMMERCIAL,Marché,Étude de marché et tendances,,Non démarré,Moyenne,,,,,
,COMMERCIAL,Marché,Analyse de la concurrence,,Non démarré,Moyenne,,,,,
,COMMERCIAL,Clients,Liste des principaux clients,,Non démarré,Haute,,,,,
,COMMERCIAL,Clients,Concentration clientèle (top 10),,Non démarré,Haute,,,,,
,COMMERCIAL,Clients,Contrats-cadres clients,,Non démarré,Haute,,,,,
,COMMERCIAL,Produits/Services,Catalogue produits,,Non démarré,Moyenne,,,,,
,COMMERCIAL,Produits/Services,Roadmap produit,,Non démarré,Moyenne,,,,,
,COMMERCIAL,Produits/Services,Garanties et SAV,,Non démarré,Basse,,,,,
,OPÉRATIONNEL,Organisation,Organigramme détaillé,,Non démarré,Moyenne,,,,,
,OPÉRATIONNEL,Organisation,Fiches de poste clés,,Non démarré,Moyenne,,,,,
,OPÉRATIONNEL,Ressources humaines,Effectifs et rémunérations,,Non démarré,Haute,,,,,
,OPÉRATIONNEL,Ressources humaines,Contrats de travail,,Non démarré,Haute,,,,,
,OPÉRATIONNEL,Ressources humaines,Accords d'intéressement,,Non démarré,Moyenne,,,,,
,OPÉRATIONNEL,Ressources humaines,Plan social éventuel,,Non démarré,Critique,,,,,
,OPÉRATIONNEL,Immobilier,Bail commercial / titre de propriété,,Non démarré,Haute,,,,,
,OPÉRATIONNEL,Immobilier,État des lieux,,Non démarré,Moyenne,,,,,
,OPÉRATIONNEL,Systèmes IT,Inventaire matériel,,Non démarré,Basse,,,,,
,OPÉRATIONNEL,Systèmes IT,Logiciels métiers,,Non démarré,Moyenne,,,,,
,OPÉRATIONNEL,Systèmes IT,Sécurité informatique,,Non démarré,Moyenne,,,,,
,ENVIRONNEMENTAL,Réglementation,Autorisations administratives,,Non démarré,Haute,,,,,
,ENVIRONNEMENTAL,Réglementation,Conformité environnementale,,Non démarré,Haute,,,,,
,ENVIRONNEMENTAL,RSE,Politique RSE,,Non démarré,Basse,,,,,
,ENVIRONNEMENTAL,RSE,"Certifications (ISO, etc.)",,Non démarré,Moyenne,,,,,
